estados,taxa
RO,5.691459074733096
AC,5.586980920314254
AM,5.632352941176471
RR,5.79685768293526
PA,5.5
AP,5.579747455046149
TO,5.623495690768327
MA,5.62048549437537
PI,5.492283234191692
CE,5.138108655107111
RN,5.216240339147479
PB,5.460251680260086
PE,5.093907210732253
AL,5.45392213705242
SE,5.418061685593925
BA,5.25613802256138
MG,5.33559145388223
ES,5.2366987478349145
RJ,5.013921800947867
SP,5.24469305794607
PR,5.610384499332371
SC,5.560211492496436
RS,5.603041272588779
MS,5.686627271610344
MT,5.864888123924269
GO,5.5409899494534365
PAL,5.175286655603954
FLO,4.987859038593857
CUR,5.250920605883191
SAP,4.994347779769723
BLH,5.012409857451496
RDJ,5.084909977949948
VIT,4.703946121022763
CGE,5.271926361548564
GOI,5.271552775865304
DIF,4.993705242633027
SAL,4.378787878787879
CUI,5.2474668745128605
PTV,5.288065843621399
ROB,5.284840838315723
PAS,5.449006342034612
ARC,4.726081152828284
MCO,4.614937388193202
RCF,4.621423260876529
JPS,4.822407726377963
NTL,5.0184550565290555
FRT,4.561680801850424
SLS,4.934304872047253
BLM,5.078551975722272
MCP,5.269497858927146
BOA,5.200474680207696
MNS,5.02401372212693
TRS,5.052139037433155
